Samples,Plate,Donor,Celltype
T74_P1_A9_ILC1,T74_P1,T74,ILC1
T74_P1_B4_NK,T74_P1,T74,NK
T74_P1_B7_ILC2,T74_P1,T74,ILC2
T74_P1_B9_NK,T74_P1,T74,NK
T74_P1_D10_ILC2,T74_P1,T74,ILC2
T74_P1_E1_ILC3,T74_P1,T74,ILC3
T74_P1_E2_ILC3,T74_P1,T74,ILC3
T74_P1_E3_ILC3,T74_P1,T74,ILC3
T74_P1_E4_ILC3,T74_P1,T74,ILC3
T74_P1_E5_ILC3,T74_P1,T74,ILC3
T74_P1_E6_NK,T74_P1,T74,NK
T74_P1_E7_NK,T74_P1,T74,NK
T74_P1_F1_ILC3,T74_P1,T74,ILC3
T74_P1_F2_ILC3,T74_P1,T74,ILC3
T74_P1_F3_ILC3,T74_P1,T74,ILC3
T74_P1_F4_ILC3,T74_P1,T74,ILC3
T74_P1_F5_ILC3,T74_P1,T74,ILC3
T74_P1_G1_ILC3,T74_P1,T74,ILC3
T74_P1_G4_NK,T74_P1,T74,NK
T74_P1_G9_NK,T74_P1,T74,NK
T74_P1_H10_ILC2,T74_P1,T74,ILC2
T74_P2_B4_NK,T74_P2,T74,NK
T74_P2_B9_NK,T74_P2,T74,NK
T74_P2_C10_ILC3,T74_P2,T74,ILC3
T74_P2_C11_ILC3,T74_P2,T74,ILC3
T74_P2_C12_ILC3,T74_P2,T74,ILC3
T74_P2_C2_ILC3,T74_P2,T74,ILC3
T74_P2_C3_ILC3,T74_P2,T74,ILC3
T74_P2_C4_ILC3,T74_P2,T74,ILC3
T74_P2_C5_ILC3,T74_P2,T74,ILC3
T74_P2_C6_ILC3,T74_P2,T74,ILC3
T74_P2_C8_ILC3,T74_P2,T74,ILC3
T74_P2_C9_ILC3,T74_P2,T74,ILC3
T74_P2_D11_NK,T74_P2,T74,NK
T74_P2_D2_NK,T74_P2,T74,NK
T74_P2_E12_ILC3,T74_P2,T74,ILC3
T74_P2_E7_NK,T74_P2,T74,NK
T74_P2_F1_ILC3,T74_P2,T74,ILC3
T74_P2_G4_NK,T74_P2,T74,NK
T74_P2_G9_NK,T74_P2,T74,NK
T74_P3_A11_ILC2,T74_P3,T74,ILC2
T74_P3_B4_NK,T74_P3,T74,NK
T74_P3_B9_NK,T74_P3,T74,NK
T74_P3_C2_ILC2,T74_P3,T74,ILC2
T74_P3_C6_ILC2,T74_P3,T74,ILC2
T74_P3_D11_NK,T74_P3,T74,NK
T74_P3_D6_ILC3,T74_P3,T74,ILC3
T74_P3_D7_ILC3,T74_P3,T74,ILC3
T74_P3_E4_ILC2,T74_P3,T74,ILC2
T74_P3_E7_NK,T74_P3,T74,NK
T74_P3_E9_ILC2,T74_P3,T74,ILC2
T74_P3_F1_ILC3,T74_P3,T74,ILC3
T74_P3_F2_ILC3,T74_P3,T74,ILC3
T74_P3_F3_ILC3,T74_P3,T74,ILC3
T74_P3_F4_ILC3,T74_P3,T74,ILC3
T74_P3_G4_NK,T74_P3,T74,NK
T74_P3_G9_NK,T74_P3,T74,NK
T74_P3_H1_ILC2,T74_P3,T74,ILC2
T74_P4_A8_ILC3,T74_P4,T74,ILC3
T74_P4_A9_ILC3,T74_P4,T74,ILC3
T74_P4_B4_NK,T74_P4,T74,NK
T74_P4_C3_ILC2,T74_P4,T74,ILC2
T74_P4_D2_NK,T74_P4,T74,NK
